experiment,model,config,test_f1_macro,test_accuracy,test_f1_weighted,test_f1_negative,test_f1_neutral,test_f1_positive
minilm_config_1,minilm,config_1,0.42821299673827035,0.6231884057971014,0.6166062067686555,0.42105263157894735,0.7524752475247525,0.1111111111111111
minilm_config_2,minilm,config_2,0.39748839748839754,0.6956521739130435,0.6495032581989103,0.36363636363636365,0.8288288288288288,0.0
distilbert_config_3,distilbert,config_3,0.3840843939915148,0.5507246376811594,0.573556084015096,0.2222222222222222,0.6947368421052632,0.23529411764705882
distilbert_config_1,distilbert,config_1,0.3704043493034319,0.6521739130434783,0.6216534444296711,0.2222222222222222,0.7889908256880734,0.1
minilm_config_3,minilm,config_3,0.3212121212121212,0.6376811594202898,0.5963109354413703,0.18181818181818182,0.7818181818181819,0.0
distilbert_config_2,distilbert,config_2,0.30632008154943935,0.6086956521739131,0.5729512919381288,0.16666666666666666,0.7522935779816514,0.0
distilbert_BASE,distilbert,BASE,0.25641025641025644,0.4492753623188406,0.47937569676700115,0.0,0.6153846153846154,0.15384615384615385
minilm_BASE,minilm,BASE,0.19196385371772254,0.2028985507246377,0.2223403494429735,0.12121212121212122,0.23728813559322035,0.21739130434782608
